[attractor-pool] building size=16 dim=40 spinup_steps=20 seed=42
[attractor-pool] spinup 2/20
[attractor-pool] spinup 4/20
[attractor-pool] spinup 6/20
[attractor-pool] spinup 8/20
[attractor-pool] spinup 10/20
[attractor-pool] spinup 12/20
[attractor-pool] spinup 14/20
[attractor-pool] spinup 16/20
[attractor-pool] spinup 18/20
[attractor-pool] spinup 20/20
[attractor-pool] ready
difficulty trajectories per batch: 0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1
Epoch 105 | RMSE 0.3136 | nl2 0.01406
Epoch 106 | RMSE 0.2997 | nl2 0.01316
Epoch 107 | RMSE 0.3237 | nl2 0.01500
Epoch 108 | RMSE 0.2792 | nl2 0.01153
Epoch 109 | RMSE 0.3626 | nl2 0.01850
Epoch 110 | RMSE 0.3026 | nl2 0.01340
Epoch 111 | RMSE 0.3010 | nl2 0.01315
Epoch 112 | RMSE 0.2779 | nl2 0.01125
Epoch 113 | RMSE 0.2558 | nl2 0.00974
Epoch 114 | RMSE 0.3621 | nl2 0.01870
Epoch 115 | RMSE 0.2665 | nl2 0.01067
Epoch 116 | RMSE 0.3162 | nl2 0.01436
Epoch 117 | RMSE 0.2476 | nl2 0.00891
Epoch 118 | RMSE 0.2668 | nl2 0.01055
Epoch 119 | RMSE 0.2454 | nl2 0.00898
Epoch 120 | RMSE 0.2661 | nl2 0.01025
Epoch 121 | RMSE 0.3601 | nl2 0.01855
Epoch 122 | RMSE 0.2719 | nl2 0.01079
Epoch 123 | RMSE 0.2841 | nl2 0.01183
Epoch 124 | RMSE 0.2791 | nl2 0.01164
Epoch 125 | RMSE 0.3284 | nl2 0.01535
Epoch 126 | RMSE 0.2711 | nl2 0.01075
Epoch 127 | RMSE 0.3043 | nl2 0.01370
Epoch 128 | RMSE 0.3293 | nl2 0.01511
Epoch 129 | RMSE 0.2896 | nl2 0.01231
Epoch 130 | RMSE 0.2884 | nl2 0.01213
Epoch 131 | RMSE 0.2885 | nl2 0.01230
Epoch 132 | RMSE 0.3130 | nl2 0.01396
Epoch 133 | RMSE 0.3008 | nl2 0.01298
Epoch 134 | RMSE 0.2854 | nl2 0.01206
Epoch 135 | RMSE 0.2492 | nl2 0.00925
Epoch 136 | RMSE 0.2841 | nl2 0.01159
Epoch 137 | RMSE 0.2639 | nl2 0.01023
Epoch 138 | RMSE 0.2550 | nl2 0.00982
Epoch 139 | RMSE 0.3017 | nl2 0.01309
Epoch 140 | RMSE 0.3214 | nl2 0.01483
Epoch 141 | RMSE 0.2306 | nl2 0.00795
Epoch 142 | RMSE 0.3083 | nl2 0.01370
Epoch 143 | RMSE 0.3112 | nl2 0.01431
Epoch 144 | RMSE 0.3093 | nl2 0.01405
Epoch 145 | RMSE 0.3271 | nl2 0.01555
Epoch 146 | RMSE 0.2750 | nl2 0.01120
Epoch 147 | RMSE 0.2979 | nl2 0.01271
Epoch 148 | RMSE 0.3481 | nl2 0.01764
Epoch 149 | RMSE 0.2730 | nl2 0.01085
