[attractor-pool] building size=16 dim=40 spinup_steps=20 seed=42
[attractor-pool] spinup 2/20
[attractor-pool] spinup 4/20
[attractor-pool] spinup 6/20
[attractor-pool] spinup 8/20
[attractor-pool] spinup 10/20
[attractor-pool] spinup 12/20
[attractor-pool] spinup 14/20
[attractor-pool] spinup 16/20
[attractor-pool] spinup 18/20
[attractor-pool] spinup 20/20
[attractor-pool] ready
difficulty trajectories per batch: 0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1
Epoch   0 | RMSE 0.5860 | ES 0.4446 | NLL 0.9090 | mean_MSE 0.3777 | objective 0.6110
Epoch  41 | RMSE 0.3899 | ES 0.3170 | NLL -0.0386 | mean_MSE 0.1614 | objective 0.3454
Epoch  42 | RMSE 0.3401 | ES 0.2841 | NLL -0.2850 | mean_MSE 0.1206 | objective 0.2797
Epoch  43 | RMSE 0.3155 | ES 0.2745 | NLL -0.3216 | mean_MSE 0.1027 | objective 0.2628
Epoch  44 | RMSE 0.3382 | ES 0.2859 | NLL -0.3730 | mean_MSE 0.1185 | objective 0.2723
Epoch  45 | RMSE 0.3486 | ES 0.2908 | NLL -0.0170 | mean_MSE 0.1282 | objective 0.3147
Epoch  46 | RMSE 0.3729 | ES 0.3037 | NLL -0.1854 | mean_MSE 0.1458 | objective 0.3143
Epoch  47 | RMSE 0.3900 | ES 0.3208 | NLL -0.0869 | mean_MSE 0.1596 | objective 0.3441
Epoch  48 | RMSE 0.4121 | ES 0.3339 | NLL 0.0618 | mean_MSE 0.1808 | objective 0.3762
Epoch  49 | RMSE 0.4159 | ES 0.3293 | NLL 0.1402 | mean_MSE 0.1845 | objective 0.3802
Epoch  50 | RMSE 0.3450 | ES 0.2898 | NLL -0.1242 | mean_MSE 0.1233 | objective 0.3021
Epoch  51 | RMSE 0.3977 | ES 0.3191 | NLL 0.0308 | mean_MSE 0.1680 | objective 0.3558
Epoch  52 | RMSE 0.3038 | ES 0.2679 | NLL -0.4159 | mean_MSE 0.0944 | objective 0.2452
Epoch  53 | RMSE 0.2920 | ES 0.2574 | NLL -0.3848 | mean_MSE 0.0880 | objective 0.2365
Epoch  54 | RMSE 0.4000 | ES 0.3244 | NLL -0.1546 | mean_MSE 0.1714 | objective 0.3432
Epoch  55 | RMSE 0.3307 | ES 0.2755 | NLL -0.1692 | mean_MSE 0.1127 | objective 0.2811
Epoch  56 | RMSE 0.4318 | ES 0.3365 | NLL 0.2639 | mean_MSE 0.1985 | objective 0.4026
Epoch  57 | RMSE 0.4468 | ES 0.3557 | NLL 0.3581 | mean_MSE 0.2143 | objective 0.4344
Epoch  58 | RMSE 0.3614 | ES 0.2982 | NLL 0.0340 | mean_MSE 0.1348 | objective 0.3285
Epoch  59 | RMSE 0.3515 | ES 0.2876 | NLL -0.2089 | mean_MSE 0.1282 | objective 0.2924
Epoch  60 | RMSE 0.3382 | ES 0.2848 | NLL -0.3602 | mean_MSE 0.1186 | objective 0.2725
Epoch  61 | RMSE 0.3689 | ES 0.2996 | NLL -0.2294 | mean_MSE 0.1424 | objective 0.3052
Epoch  62 | RMSE 0.3373 | ES 0.2804 | NLL -0.2570 | mean_MSE 0.1179 | objective 0.2782
Epoch  63 | RMSE 0.2981 | ES 0.2559 | NLL -0.4330 | mean_MSE 0.0902 | objective 0.2307
Epoch  64 | RMSE 0.3488 | ES 0.2872 | NLL -0.3202 | mean_MSE 0.1246 | objective 0.2801
Epoch  65 | RMSE 0.3188 | ES 0.2714 | NLL -0.3406 | mean_MSE 0.1048 | objective 0.2583
Epoch  66 | RMSE 0.3517 | ES 0.2896 | NLL -0.2401 | mean_MSE 0.1278 | objective 0.2912
Epoch  67 | RMSE 0.2969 | ES 0.2581 | NLL -0.4483 | mean_MSE 0.0899 | objective 0.2313
Epoch  68 | RMSE 0.3077 | ES 0.2649 | NLL -0.4744 | mean_MSE 0.0963 | objective 0.2368
Epoch  69 | RMSE 0.3316 | ES 0.2801 | NLL -0.2614 | mean_MSE 0.1128 | objective 0.2765
Epoch  70 | RMSE 0.3282 | ES 0.2780 | NLL -0.2587 | mean_MSE 0.1101 | objective 0.2742
Epoch  71 | RMSE 0.3022 | ES 0.2670 | NLL -0.4701 | mean_MSE 0.0936 | objective 0.2387
Epoch  72 | RMSE 0.3004 | ES 0.2597 | NLL -0.4083 | mean_MSE 0.0915 | objective 0.2371
Epoch  73 | RMSE 0.2957 | ES 0.2600 | NLL -0.4097 | mean_MSE 0.0883 | objective 0.2367
Epoch  74 | RMSE 0.4084 | ES 0.3228 | NLL 0.0204 | mean_MSE 0.1759 | objective 0.3600
Epoch  75 | RMSE 0.3582 | ES 0.2951 | NLL -0.2401 | mean_MSE 0.1322 | objective 0.2976
Epoch  76 | RMSE 0.3230 | ES 0.2703 | NLL -0.3993 | mean_MSE 0.1066 | objective 0.2517
Epoch  77 | RMSE 0.3115 | ES 0.2657 | NLL -0.4051 | mean_MSE 0.0993 | objective 0.2451
Epoch  78 | RMSE 0.3029 | ES 0.2621 | NLL -0.2954 | mean_MSE 0.0924 | objective 0.2510
Epoch  79 | RMSE 0.3074 | ES 0.2652 | NLL -0.3864 | mean_MSE 0.0953 | objective 0.2456
